"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File State Senate District","All Record Count"
"AK","W - White","40-49.9","0-9.9","B","458"
"AK","W - White","20-29.9","10-19.9","O","457"
"AK","W - White","50-59.9","10-19.9","Q","456"
"AK","W - White","90-100","90-100","M","452"
"AK","W - White","90-100","80-89.9","H","451"
"AK","W - White","50-59.9","90-100","J","451"
"AK","W - White","50-59.9","0-9.9","H","451"
"AK","W - White","0-9.9","20-29.9","C","450"
"AK","W - White","40-49.9","10-19.9","Q","450"
"AK","W - White","40-49.9","90-100","E","446"
"AK","W - White","10-19.9","10-19.9","R","444"
"AK","W - White","60-69.9","20-29.9","D","443"
"AK","W - White","30-39.9","10-19.9","Q","443"
"AK","W - White","50-59.9","90-100","F","442"
"AK","W - White","50-59.9","10-19.9","C","442"
"AK","W - White","10-19.9","80-89.9","B","438"
